"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"status"
"203074_at"	9.5921386746405	6.73639770886818	29.5144268154358	1.55266400393274e-23	1.55266400393274e-23	40.8373044361064	"Upregulated"
"226773_at"	8.9010347164333	6.88497619400559	28.6737159686922	3.55605333493253e-23	3.55605333493253e-23	40.2095860480543	"Upregulated"
"210946_at"	9.14333413248987	7.43469162722537	27.0276855869349	1.92751611893883e-22	1.92751611893883e-22	38.9011341775967	"Upregulated"
"219640_at"	8.44250808342225	6.35637816433436	26.2529298916803	4.41501330595163e-22	4.41501330595163e-22	38.2462402234928	"Upregulated"
"205428_s_at"	8.05287288053942	5.17696094577765	25.8364610807208	6.9578706732912e-22	6.9578706732912e-22	37.8832257637329	"Upregulated"
"238512_at"	7.53387321077179	3.25207799276147	25.565082151558	9.39245372820293e-22	9.39245372820293e-22	37.6424132611831	"Upregulated"
"236123_at"	7.76587358150215	4.63681355929175	25.4545839476208	1.0621803522514e-21	1.0621803522514e-21	37.5433794293222	"Upregulated"
"222992_s_at"	7.95243046455094	9.56716502003861	24.4619831074388	3.27939357213765e-21	3.27939357213765e-21	36.6274947758477	"Upregulated"
"227058_at"	8.03991435303849	5.77315423232201	24.0371430904415	5.38132781505381e-21	5.38132781505381e-21	36.2205341356279	"Upregulated"
"211699_x_at"	9.39306470397352	6.8133265110177	24.0109087880063	5.54989211127767e-21	5.54989211127767e-21	36.1951002268656	"Upregulated"
"203139_at"	8.44675083903648	6.4583475582083	23.8244252312373	6.91648681416852e-21	6.91648681416852e-21	36.0132731956811	"Upregulated"
"213451_x_at"	7.44368395597633	5.71994575199932	23.8165741935547	6.98112196677534e-21	6.98112196677534e-21	36.0055782665392	"Upregulated"
"228528_at"	7.39598795623262	5.5956018457021	23.7933495651398	7.17599743553994e-21	7.17599743553994e-21	35.9827964474559	"Upregulated"
"223734_at"	7.98495166890307	4.41264729892999	23.715444782637	7.8716942194892e-21	7.8716942194892e-21	35.9061692613065	"Upregulated"
"216333_x_at"	7.51224029779175	5.69477349405991	23.6923334093931	8.09119716628658e-21	8.09119716628658e-21	35.8833751579749	"Upregulated"
"223597_at"	10.1398363504922	4.10939107514412	23.6769296785067	8.24099563705813e-21	8.24099563705813e-21	35.8681671546867	"Upregulated"
"201893_x_at"	9.84469356901393	8.20551533035953	23.4532096563036	1.07700899623494e-20	1.07700899623494e-20	35.6458625131568	"Upregulated"
"1552845_at"	7.09550986977785	5.02638394420273	23.3702377982428	1.19010087838228e-20	1.19010087838228e-20	35.5627315485153	"Upregulated"
"201010_s_at"	9.80970201721589	8.95606192541743	23.3600421612935	1.20481950541667e-20	1.20481950541667e-20	35.5524906374235	"Upregulated"
"223923_at"	6.51743056574525	4.79372812506935	23.1760352163409	1.50531081155709e-20	1.50531081155709e-20	35.3666926393405	"Upregulated"
"226751_at"	7.51069846197969	5.38928983347704	23.1655119743895	1.52467571167246e-20	1.52467571167246e-20	35.3560109063895	"Upregulated"
"215506_s_at"	7.83406185113156	4.39565219455867	23.0389751230594	1.77871834585714e-20	1.77871834585714e-20	35.2270897355336	"Upregulated"
"204719_at"	8.63846449092506	3.57225962101757	22.9754069215134	1.92245084321677e-20	1.92245084321677e-20	35.1619887062867	"Upregulated"
"36030_at"	7.19834695648367	5.37731281916743	22.9075779876981	2.08909318616985e-20	2.08909318616985e-20	35.0922756250824	"Upregulated"
"207761_s_at"	9.44425584591956	8.261059221476	22.8234942410304	2.31657002823685e-20	2.31657002823685e-20	35.0054981318016	"Upregulated"
"204793_at"	6.86125274765585	3.99253170999498	22.7627778427161	2.49661021313359e-20	2.49661021313359e-20	34.9425888995144	"Upregulated"
"212586_at"	9.51926450731106	8.53687102318478	22.6420975488749	2.89860878169837e-20	2.89860878169837e-20	34.8169294914108	"Upregulated"
"201426_s_at"	9.78988580914181	8.28263977431737	22.6097229344107	3.01742411165405e-20	3.01742411165405e-20	34.7830779505764	"Upregulated"
"203413_at"	9.08424470966568	6.53296125901894	22.608781336646	3.02095405143093e-20	3.02095405143093e-20	34.7820925000895	"Upregulated"
"216320_x_at"	7.95225317056294	6.52790995534564	22.6063352814336	3.03014395206891e-20	3.03014395206891e-20	34.7795322883788	"Upregulated"
"210757_x_at"	7.14329588057128	5.43677727351118	22.6045026343413	3.03704815980141e-20	3.03704815980141e-20	34.7776138878547	"Upregulated"
"208029_s_at"	8.34346148937963	9.71525069950224	22.3119600863407	4.37679633728963e-20	4.37679633728963e-20	34.4689000339191	"Upregulated"
"219371_s_at"	7.15704415550199	5.32814475379653	22.2912685186481	4.49212367308881e-20	4.49212367308881e-20	34.4468764187403	"Upregulated"
"214414_x_at"	10.4764685786387	7.29752354624979	22.2490783842352	4.73709338435404e-20	4.73709338435404e-20	34.4018925283538	"Upregulated"
"200872_at"	9.76642327911931	8.81672962813598	22.1842317132346	5.14081321321536e-20	5.14081321321536e-20	34.3325478952373	"Upregulated"
"203695_s_at"	8.59201430326713	5.85228461945652	22.098776319962	5.72771723440721e-20	5.72771723440721e-20	34.2407859493477	"Upregulated"
"228320_x_at"	7.64681431886377	5.7419286658736	22.0661993234547	5.96928214961293e-20	5.96928214961293e-20	34.2056908014947	"Upregulated"
"230319_at"	6.1469611290207	2.39856245228384	21.9893213188791	6.58192986225889e-20	6.58192986225889e-20	34.1226196248741	"Upregulated"
"204018_x_at"	8.47938951515513	6.16480028389018	21.9558646649524	6.86847139780567e-20	6.86847139780567e-20	34.086357433195	"Upregulated"
"228496_s_at"	8.60809768002865	7.4324290290226	21.9414000296179	6.99631073769591e-20	6.99631073769591e-20	34.0706590749416	"Upregulated"
"211075_s_at"	7.66564517719824	9.03398733254249	21.8321140311517	8.04511226364708e-20	8.04511226364708e-20	33.9516448870629	"Upregulated"
"203854_at"	9.32979462912067	8.15511609697095	21.824663360584	8.12227455907987e-20	8.12227455907987e-20	33.9435047355737	"Upregulated"
"1568597_at"	7.06675188382302	5.343609761223	21.7416406177075	9.03559258690868e-20	9.03559258690868e-20	33.8525713007935	"Upregulated"
"1553797_a_at"	6.4990678253031	2.4313300362204	21.7026948673296	9.49992030888996e-20	9.49992030888996e-20	33.8097701474677	"Upregulated"
"209147_s_at"	7.11463117059288	5.46860144810076	21.6551795442758	1.00999433814311e-19	1.00999433814311e-19	33.7574255838922	"Upregulated"
"229434_at"	7.24605044076859	5.39082191337911	21.5918008655541	1.09617198493435e-19	1.09617198493435e-19	33.6873899041084	"Upregulated"
"227554_at"	7.33771825852835	5.73179951193923	21.5745690550447	1.12088971007215e-19	1.12088971007215e-19	33.6683054251669	"Upregulated"
"208131_s_at"	8.72133913849181	5.71371172782138	21.502871867189	1.23007011828859e-19	1.23007011828859e-19	33.5887029445607	"Upregulated"
"213247_at"	8.0863461471273	6.1452849954728	21.4989308663384	1.2363805936832e-19	1.2363805936832e-19	33.5843181891204	"Upregulated"
"1558678_s_at"	10.1329502969658	9.61049137572439	21.4868177657092	1.25598644453225e-19	1.25598644453225e-19	33.5708351309009	"Upregulated"
"200953_s_at"	7.18428993159188	5.1786014715506	21.4580085555879	1.30391525180584e-19	1.30391525180584e-19	33.5387310901826	"Upregulated"
"203453_at"	8.11496221425389	9.39829692722715	21.4216807786041	1.36705484883109e-19	1.36705484883109e-19	33.4981750262331	"Upregulated"
"211745_x_at"	9.99820472565282	6.90363418703358	21.402085433572	1.40241392454093e-19	1.40241392454093e-19	33.4762647822018	"Upregulated"
"1560049_at"	6.49474941598348	4.75318844346332	21.3900298924104	1.42463523152252e-19	1.42463523152252e-19	33.4627731491884	"Upregulated"
"230333_at"	8.97130938746569	6.89891388637387	21.3539855827131	1.49326564590623e-19	1.49326564590623e-19	33.422380935999	"Upregulated"
"225387_at"	7.1872972083578	4.9673066393369	21.3411296177966	1.51856167975683e-19	1.51856167975683e-19	33.4079545176395	"Upregulated"
