GSM1314222_HOSE2008	GSM1314223_HOSE2061	GSM1314224_HOSE2064	GSM1314225_HOSE2085	GSM1314226_HOSE2230	GSM1314227_HOSE2237	GSM1314228_317T	GSM1314229_324CT	GSM1314230_377T	GSM1314231_380T	GSM1314232_388T	GSM1314233_389T	GSM1314234_412T	GSM1314235_431T	GSM1314236_486T	GSM1314237_645T	GSM1314238_660T	GSM1314239_692T	GSM1314240_702T	GSM1314241_765T	GSM1314242_778T	GSM1314243_872T
1405_i_at	4.12617197416074	4.10844184769504	3.64071708937759	3.66512463310708	3.99335584967871	2.96264281102189	6.09632880928999	3.50664750645148	3.1391846298962	5.20595581327737	4.24176670735316	3.74220913988952	3.04821740504312	1.83702937840399	4.60455309003504	5.44824843461031	5.62235646510463	2.17773860570234	5.15436979089517	2.19458586124136	6.81963127359588	2.70752301734199
1552316_a_at	5.73857611642172	2.49507042357698	2.45364397100806	1.89267987595272	3.85790176084175	2.75962333889377	3.94736690921376	1.36905136775971	1.75397601605117	3.35501116500051	4.03478171607957	2.25557935943783	2.21599107051859	2.36881418196517	2.38261730089947	3.53768269411843	4.6327368847143	1.6384624994173	2.28323421147044	1.5263609028083	4.71379934854262	1.53856924717508
1552354_at	7.86973232344934	8.16474317495808	8.32164338277525	8.31643665430586	4.48812935741375	4.06369931060376	6.680014104619	7.12879949968644	7.40393899988878	6.67353642109479	7.85336897215679	6.78056196770877	5.86414925433111	4.29989304325675	5.06605126771921	5.02012246379916	5.13746424555547	5.21800217552088	6.99222720356008	6.97702100879795	6.67359079690182	7.16169392161512
1552368_at	1.99819136737121	2.12945744572702	1.70780110995996	1.91703713281021	1.51465006735319	1.36517883896246	2.59413798602091	6.40414755747071	7.32230339439401	5.80819123955344	4.36536515236774	1.60376816567679	6.39376771906425	3.78164984793442	1.79090144132158	6.4054468119612	6.25663926398421	5.06078715402846	4.8105616425376	6.69447738675642	1.3530216341609	3.75050113622777
1552390_a_at	3.6295333761682	3.97631560362341	4.1274092416596	4.21929858422725	5.74910342356474	4.90543945178592	3.33788407154485	3.38759696991531	3.29524874414283	6.25436770299525	6.76297360188076	4.14294442873503	4.86345232542909	5.67841279913193	3.82122177998972	6.43434022496081	6.69436335801605	5.86793982412724	1.98109049891354	4.67683875278695	1.67461033832757	3.29021000746949
1552487_a_at	7.53952994669285	8.27801852959409	7.34904342496714	7.72539926286269	9.83303584313432	9.70323801985494	1.41404834636295	2.63577823752104	1.34986878539018	1.47955479986307	1.69898107131743	1.33680545270554	1.14591453375334	1.05803030142388	3.75622796276581	5.00384702694137	4.37110578261678	1.75495415431766	1.4613275415134	1.23398370619809	5.82016655985974	1.37774004794911
1552703_s_at	5.75594075701399	5.68590941241584	4.4222756474972	4.79358042348544	6.10806843009362	6.52197464482557	5.19981115092516	3.62250697306441	1.34064998266375	4.22079067254849	4.26057637002632	3.45386001983684	3.50524009567112	4.232408631886	3.54043270248036	5.09921103071368	5.12070536441966	3.14841220161829	3.36598847763629	1.19258232400526	4.26401059917959	3.41263864133437
1552712_a_at	4.18668940647533	3.3172103399314	3.57792629905795	3.8801806456142	4.01786231005527	4.35916001461095	4.05356637206661	3.81989574042698	3.22497863832213	3.50859361975217	4.18048708002512	3.9667574735875	3.39636197626304	4.4017358735819	2.8401912116279	2.92008526235324	3.4328039023001	8.73832670136088	4.65010238927415	3.48055722821733	2.98583456744987	4.18668940647533
1552733_at	4.58013805824155	4.97746155869398	4.43527429917291	5.29597659522378	6.21359887162785	4.97319813845415	3.1192009853613	2.21981623714177	2.49307893950376	2.3120484044735	2.43236356413211	3.55999579105515	1.90883844183931	5.61047763852584	1.84033474460902	2.23003744835035	3.07312036962028	2.04249088357458	2.81882834302539	2.42811470102754	3.22133756512335	2.74319787128259
1552767_a_at	3.00640178966819	4.44128539420259	5.39503485306459	4.20072576486663	5.82545280090906	5.34630499528654	3.13474320813878	2.64535070328097	4.27836315613643	2.38850578590872	2.27112173193131	2.37734017288962	4.36934063096914	6.78054521138756	1.56580294544814	4.88836087813259	2.35476354653827	5.11661333150199	1.367919763355	2.87874500772148	9.02861885896799	1.86047139394782
1552797_s_at	3.34060254347189	3.29038573813386	6.72865589145495	3.4401442736406	4.03499553069273	3.40546129228088	6.92060598375576	9.04085537004866	5.58531073003148	6.41265939180052	6.49702557280882	9.71079354319219	5.60058131669295	7.64870236405982	6.99202532113236	7.01259632567534	7.70160939644525	5.1152262829019	5.71174710337074	6.56880271894459	8.66064502710598	7.67106436085567
1552845_at	6.481163765904	7.01601037343056	6.11572031514611	6.43054238848741	8.36937449265545	8.16024788304356	4.40046587737743	4.18678930715473	4.60141434783187	4.17061001341052	4.24104767975095	4.2602146747372	4.27330344537645	4.210338978506	4.03068812708096	3.91789141827545	4.08334430326687	4.0733668022766	4.37667158267486	4.31033376553756	4.49496055759612	4.37594667293941
1552910_at	3.36748492066472	5.54250597865638	4.89199531997575	3.3257507817643	2.44862309596536	7.34704966842489	2.19508037063244	1.79769608938804	2.16636350546607	2.14873795193514	1.7899596227163	1.70606167364612	1.64041569115863	1.6447371902145	1.422525864825	1.64238462159775	1.47671264575589	1.98417962796959	1.63556546947211	1.85738617339352	1.71307583441492	1.76516934244603
1552954_at	2.21996803642662	2.42428246747868	2.10944574858194	2.03512275262906	1.89763151567882	2.12854467295071	2.04606674392544	6.08582857826676	2.21529763981801	2.22016987855212	2.12995600014372	2.06373912726836	2.12137579777121	2.08660109649524	2.00189192162791	2.07443311387435	7.04146226747889	1.99367852776229	2.11435233151963	2.0273470612652	1.92136928614633	2.2673920928784
1553106_at	1.25053769277149	1.37737000757095	1.24179460772186	1.14555490406901	2.51552336647759	1.94556473086026	1.85053380236243	1.60846103185791	1.8910430635621	2.54032209903953	1.75492489869161	3.64439003151546	3.79310254421356	4.93322516395446	4.09046193463777	4.11625244683467	4.11636416945862	4.04330819062137	2.96188633263301	1.09328947177365	1.9877230132308	3.15569805425565
1553169_at	5.26490833097292	5.40615334745876	5.7656265408189	5.73581356604508	7.28365838626247	7.17786633026588	3.2057468463087	3.6739149235075	3.57861903726329	3.27327613784554	3.36317636732444	3.66764845844132	3.26491424740315	4.15981276046537	2.93503622366738	2.49395617418608	2.90061434663652	3.15179447543035	3.1923572804792	2.8909372049027	4.04643117018224	3.29482864097133
1553171_x_at	5.44933878676607	5.41144856392129	5.38050449095427	6.05529308973288	7.53385059226923	7.06143373675596	2.61842287536901	2.96156878241613	2.57248084948536	2.32059260695313	3.09628213923675	2.76412163001369	2.48720775404958	3.50491533173216	2.42561516549689	2.32858551993208	1.8152556662995	1.71916145727615	2.44972979392129	2.68749930758257	3.29861831888532	2.43614024014993
1553185_at	5.51774475268603	5.31753821751069	6.24810587125152	6.17128738286917	7.92871407803214	7.94430780439418	5.60315083669841	6.75678211295973	6.77540649907743	7.54457663541623	6.3591303782088	6.59731031243861	8.52967066987441	7.78234144736826	7.67475782390854	7.28097282650671	6.17210699660733	8.66353431820359	7.04984101163672	6.67586667001804	4.61174797516856	8.95937981325201
1553186_x_at	4.85896801555662	4.31601590904201	5.46066468636647	5.12955402734531	7.0218454513092	6.97673318424852	4.81697047539433	5.98685519791144	5.96382702280812	6.76940154224158	5.44540714605973	5.84124775043663	7.73777298042305	7.16281510903606	6.95873420559974	6.33962356062762	5.31461099354156	7.93540889277204	6.47206280438761	5.73649328169805	3.62234414775885	8.1579257948016
1553269_at	1.05322093469114	0.723489081873411	1.62543317493678	2.35720057609628	3.64606176066262	2.86561616911385	3.66626358057013	2.31447552153188	3.70814817336455	2.16703734560565	1.39861114957996	2.18676515527058	1.37157670934934	5.29811055913724	2.72990811687127	5.64856684824118	3.20337881804355	3.2366368669314	3.25670940120995	2.34201863052756	5.02094646736005	3.29203099329967
1553582_a_at	2.23874733415317	2.40797338405942	1.69336861719765	1.69184250283363	0.94568572015599	1.16083617509958	1.53160839870063	1.32068270262369	1.2254882440062	1.34481486528764	1.43527801764338	1.15745919789209	1.64333713888956	1.15290315472706	1.03329273661792	1.20451707279529	1.04209784650127	10.587307411666	4.10760040784035	1.53206407202456	1.17175898353697	4.21767043300439
1553589_a_at	4.30401784239181	4.29575738639183	4.54567126249322	4.65090819354067	6.26054103859047	4.95820158054312	6.3767974190514	5.13656396819868	3.66576110185881	4.38314079298116	5.4386316616346	6.74820530806876	3.83831252889214	4.69796624196458	5.35029316824927	5.74173727336561	8.43091966460382	3.90157047726985	4.27964007727017	3.72351182608966	5.64580095800628	4.89797840429398
1553613_s_at	2.9116140598609	3.89601093385981	5.30434938917149	5.55535788044742	5.00944420155346	4.16666724116484	3.18307964985018	5.26228271956999	4.59649442044151	2.8053991458248	3.03624965825214	4.94095552813611	2.93506856230955	2.93516851940162	4.38924301219417	4.67897049852696	2.97751971442091	6.87382387531522	3.25194772521828	2.47124918967391	6.51348955359652	3.01188240829075
1553619_a_at	3.73674031209188	3.70478789721571	3.66637852703569	3.46772254486728	3.26239683180306	3.20488313527596	3.60175101677674	3.52309557514172	4.42928765794787	3.45381290433914	3.59329221761361	3.506175539603	3.67643717161447	3.28998305443651	9.46682494982385	3.24100543095226	3.20395217599681	3.36474305277751	3.53493761253449	5.3460024498832	3.0858522914662	3.86240724930081
1553655_at	2.47097396125669	2.31760640156242	1.85867312291595	2.30964865133345	1.56222327340414	1.2899980282572	5.23788539937099	2.29406044286036	2.6998557567713	2.44112824902453	2.83876927808828	2.07140853265468	2.11747823568679	2.27540211437837	6.02718097223646	1.48375647398164	1.23230645158934	1.87086336699912	2.82270180007593	2.34279127977667	1.78205981104286	5.28348952115582
1553715_s_at	4.78165100183812	5.44806902976729	4.91468844533676	4.99117961862536	5.78417896643853	6.2717812291891	5.93375073329483	6.31820677699011	5.83541686843015	5.72435736817289	5.29850113601581	5.31188086712433	5.8443789026042	6.96771574293487	8.26946017852639	7.64550444755804	9.43478254020363	8.13931854407423	5.47295620114461	5.29656119251896	7.54516940688109	5.78160193378687
1553796_at	4.65208311837559	4.83562496297715	3.8343558970882	4.67026363002559	5.87469895867048	5.59014935676712	2.01907593652499	1.8738367232123	2.36195540518218	2.30747869657061	2.26074104615198	1.8008557105324	2.0506055690212	1.73043223528007	1.9878790778965	2.09737671757608	2.08930351505101	2.26944544116697	1.94247697241109	2.3694151532765	2.12985327491713	2.06555113872675
1553797_a_at	6.06173621650697	6.33403766788884	5.2348866853867	6.20808866550262	7.88676908588807	7.26888863064544	0.858746808235848	0.825650013228245	0.907707572642809	0.857416670829999	1.08182538698537	0.931149928175447	0.896449758628275	0.923455055721501	0.696447430703139	0.982127044582028	0.994393231711893	0.750705742234202	0.949174300939896	1.0537307765358	0.892263837841493	0.89361028603419
1553972_a_at	6.14337183790071	5.70701337972963	5.94664425332395	5.65330129444486	5.29983183955399	5.2816924365889	7.52642883689177	7.6129663003828	6.32264303312431	7.28351536419208	7.0940775867292	8.18462088781044	7.4084516505699	8.49806302577318	9.26156549641054	7.65271292447618	9.59545522215674	8.3549879145903	7.04777670569777	7.1227571038071	7.50516821437732	7.44050142269467
1553994_at	4.56891270653902	5.09854494860038	4.77007151693028	4.54699975399859	5.26427125475473	4.73180255287485	3.66500708938898	4.44866178202052	1.92144452097302	2.42211880413077	3.13765402413127	5.4403624093361	2.79051306545493	3.05512115582949	3.92988301082673	2.32704937974052	3.22327354486265	2.1323037709039	2.26351814754361	2.3419333688717	5.74181009646569	1.78927358852704
1554007_at	6.84720042660006	8.00672651412961	7.12499871854974	7.52167902172092	9.21669120893868	9.30650132266918	4.46317662463632	5.69831788655348	4.46317662463632	3.96270047212803	3.86340298279016	4.45916329214083	3.9887794470402	6.21931596638689	4.90456357776047	5.01293682732298	5.59221301683461	7.03605755958241	4.07874303105471	5.60390757670191	3.82853798960811	5.22037686689637
1554018_at	6.42813630400484	2.61281917572712	4.19080487302589	2.27879721895396	5.10990133532645	4.3299058827238	1.95978845469833	3.76440519951267	2.13443420036256	3.66371670937894	4.27017636299116	5.15308925880899	1.82675500985156	3.38980283669046	4.10471179330208	4.13737516391861	3.4372898345285	4.60675529824051	3.82395203866465	1.13317622731553	5.19076105455256	2.45838593716547
1554020_at	3.51885194602823	3.21425433408341	3.53387155579785	3.00359546414726	2.85042793748906	2.70676314488581	5.68798719999635	7.32038508837012	6.15113417567524	7.06059626643209	5.42370435375238	3.5882222099024	7.29245589595213	6.85511297421657	7.5057474514789	7.25507106341403	7.07176599422866	5.92655844947866	7.2634813968637	6.55298880259049	6.49984266048558	6.717719291583
1554408_a_at	4.56999988674603	4.34015320191641	4.42019618374538	3.99796637195552	4.30143703760265	4.33071150093922	5.62764358222083	5.80265396611294	5.92124298996002	6.28815735455676	5.69068184276526	5.64709062182929	5.51812814504991	5.2950587477287	6.75263124371022	7.35944669908532	7.89141645868619	5.47721829342701	6.47106107908851	5.91362861870987	8.08209644659983	4.95452221772443
1554455_at	4.58394036907142	4.89895407607128	4.7507239102831	5.30515558080409	6.26312828509269	6.17164042279566	4.24703838209127	4.49411549571826	3.21499582573994	3.86671958340718	2.79454949614616	3.5237608311166	3.3440509406004	4.83755773913465	4.24440058171095	3.82241159005799	3.87726943316339	1.25518930191649	4.08531098920138	2.85710006423589	3.47722598471628	3.36395215564624
1554485_s_at	5.77272604816579	5.5174529225917	4.08844809489921	4.98162042742542	6.3592282588011	6.53316963188679	2.17387676812484	2.65626440470241	2.9314997427629	3.09654768832999	3.37142922235746	2.60523723511841	2.73562459149934	2.48022934797991	3.58565385374208	4.12235091281685	3.6397529021246	4.30739037054418	2.78471884974864	2.70103833872614	3.03239481345444	2.98882050310832
1554486_a_at	1.12611594787005	1.52110206596525	1.93312171680861	1.41085255600746	1.59830428141781	1.82922546226569	3.64269869400657	2.03862975115305	2.20746752296601	4.31743731266267	2.42749768769444	3.12454089403653	4.77373602239259	1.91008683704746	3.94502114282616	2.35559716194337	5.63613785971982	2.3647900521608	4.4356389085542	2.22861811379584	2.65199686789086	1.72035606687752
1554547_at	4.6130256252009	6.31200890321264	4.63113478435759	5.30150693871214	6.85016009781752	7.10313483957403	2.70860039475656	2.39520825158453	2.3202028181484	1.51914043994217	2.44508481182118	1.98004410405582	1.93911658518224	6.88756851168442	3.35288082037462	1.77013250161392	4.14871689191281	2.38143298144233	1.79718823210251	1.96418117475026	4.61331950772696	6.34345468599283
1554679_a_at	3.58912609598884	4.77047032967839	3.14577405963654	3.4455855067248	4.60281596259764	4.53155898150465	4.7158359353592	3.88025657159053	4.4035743263657	5.94647626094098	5.39843092710103	6.07294567530334	6.12950418895312	4.09219958640988	4.88036811447666	6.3492181398514	6.03749248132279	6.29794339932933	6.8549231637517	5.79813329179236	3.07512666433876	5.42122151994038
1554741_s_at	5.80823083611063	5.24775322306442	3.40576110273664	5.10615536087582	5.9927763872509	4.31114540764894	3.95988865267627	3.85065860379503	1.58868198280727	1.99450514928038	3.09972137945898	4.43503721921093	3.9252561328849	4.54311074101375	3.92505162305824	3.42393347616785	3.75273800150459	2.60351126833445	2.62331808195629	2.67279142451935	4.56368105765971	2.66645602690512
1554789_a_at	3.24450971666828	4.28385159987236	3.96266336611389	5.38665097697136	4.54687830374667	5.94219971898473	1.36309227616903	1.44151399534132	1.35412035533164	1.38298746379104	1.18227605997547	1.36642045369833	1.48252828073805	1.12752375007659	1.15082060092562	1.22977683197889	0.959595734406984	1.12863350349639	1.25611008345566	1.31429886916946	1.24982904510472	1.48710544718311
1555216_a_at	3.44682480684538	3.87340903053205	3.7192216772501	3.25518864256793	4.04454730112578	3.37362006671017	3.90512976344137	3.61853220466862	3.2548421028301	4.86034472651383	3.04452491595827	3.72354324933241	4.9283391794759	4.26502939053167	4.54530123152562	4.09144776206606	6.37780765325924	8.58435529149311	5.74190309876586	5.22147890300639	3.07315263162337	5.45170896361209
1555229_a_at	2.06496093259525	3.87474669348945	2.77579846362478	2.84300389325963	6.15751604136527	3.79824383306364	1.62393179152991	1.21452000138671	1.15660369930857	1.53265130990329	1.48361248817672	1.19961361055821	1.35873773107516	1.28711882474	1.60652288910298	1.13526936453036	1.61486195857649	0.888292182813368	1.38339295700196	1.30869469462522	1.51490082564928	1.67433282568825
1555274_a_at	3.53271214983211	2.95825968474195	3.67546360676483	2.96387246432016	3.54600396706811	3.43812710982317	6.63400824904908	5.51191865620269	5.093307556669	5.90532817263162	4.96742761853567	4.58356280179792	7.22568034423849	6.81428941434536	7.27801734666515	7.62940051469619	6.02469372649932	7.10901303084294	5.39559620592676	5.74484384392966	6.33607629904657	5.73791862031171
